year,month,day,hour,latitude,longitude,DEM,TP,DT,tas,RH,WbT,WS,EPT,T400,T500,T650,T700,T750,T800,T850,T900,T950,T975,400RH,500RH,650RH,700RH,750RH,800RH,850RH,900RH,950RH,975RH,400VV,500VV,650VV,700VV,750VV,800VV,850VV,900VV,950VV,975VV,FR,name
2001,12,16,20,24.1,115.3,193.4843445,1.092273,11.1646667,14.3501068,0.811764049,12.4778332,1.150758674,26.5305351,-18.4594025,-8.7145599,2.5568939,4.8094727,7.8062988,10.9093567,12.9215637,13.3517548,14.0103546,13.6889893,4.47E-06,9.52E-06,6.24E-05,7.54E-05,8.76E-05,8.98E-05,0.000103585,1.000940828,0.84766983,0.818352556,0.149737358,-0.024234772,-0.140987396,-0.018865585,0.068172455,-0.081902504,-0.235631943,-0.274106026,-0.191515923,-0.138127327,FALSE,Southern
2012,2,10,20,26.4,112.8,92.42288208,0.390026,-2.7309326,2.8303772,0.668186463,0.669198,1.465187262,15.8292391,-19.7475189,-9.1382507,0.5185028,1.1333557,2.2360474,3.2144714,2.7083527,-1.4993652,-0.4495148,1.0425201,1.62E-06,3.18E-06,3.50E-05,4.89E-05,5.81E-05,5.58E-05,4.35E-05,0.826288118,0.668868151,0.626974649,0.070544243,0.065970421,-0.006872177,-0.033423424,-0.013737679,0.04364872,0.034826279,-0.092015266,-0.179691315,-0.18606472,FALSE,Central
2011,1,27,8,27,106,1233.033813,0.471331,-2.9761871,0.627298,0.768066079,-2.68,2.245941186,19.6957076,-23.6819061,-12.1187347,-0.063269,2.4599091,-2.7757324,-5.3456787,-1.4352783,1.633905,4.4928986,5.869165,0.191485128,0.153883448,0.2233288,0.504734345,0.887182722,0.978219662,0.803122864,0.718207264,0.718207464,0.717950659,-0.415102959,-0.057870865,0.150824547,-0.175867081,-0.086783409,-0.03984642,-0.052776337,-0.002806664,-0.015216827,-0.006546974,TRUE,Southwestern
2014,2,28,20,31.8,114.1,344.5739441,3.640294,1.0218903,1.9131256,0.938138065,-0.51,4.03055832,27.2683211,-25.0413574,-13.6176208,-5.1516022,-2.5061859,-0.9664215,-0.1960815,1.5877319,1.3910919,-0.7275299,0.2956482,0.622490654,0.44341301,0.874788075,0.935716705,0.926135321,0.991994543,0.991114216,0.989332018,0.997308435,0.99690918,0.080188751,0.006537437,-0.110431671,-0.062119484,-0.135555267,-0.153147697,0.07114315,0.406885147,0.410612106,0.238239288,TRUE,Central
2003,12,3,20,28.8,105.8,285.0038147,2.995405,9.261026,9.7989594,0.96452257,9.4997096,1.41660072,17.0637079,-27.3137268,-13.6941437,-1.4139313,0.5335175,1.8490692,2.7455841,3.8865143,5.5398193,8.1578156,9.6251923,3.12E-06,1.25E-05,3.66E-05,4.50E-05,5.49E-05,5.31E-05,5.77E-05,1.013734379,1.002808762,0.980157738,-0.219805717,0.070979118,-0.128523827,-0.087427139,-0.082447052,-0.244275093,-0.257702827,-0.301985741,-0.109984398,-0.047842026,FALSE,Southwestern
2011,1,13,8,27,106,1233.033813,0.187206,-1.8054565,2.9658142,0.708649384,-1.22,2.184712431,23.3537295,-16.8824371,-8.1460327,-2.8041443,-2.3991455,-1.9433807,-3.2077698,1.1499115,4.2442871,7.1267487,8.530603,0.026945229,0.0320432,0.483980541,0.864348898,0.920925036,1.003855257,0.771259375,0.723066969,0.721096821,0.720191212,0.397043228,0.323422432,-0.100554466,-0.138820648,-0.297805786,-0.270697594,-0.24318409,-0.217568398,-0.208286285,-0.207266808,TRUE,Southwestern
2012,2,9,8,35.2,109.9,726.1374512,0.190891,-12.7527679,1.6864563,0.333708154,-2.9257426,1.482475147,4.5671539,-26.8087372,-17.3492645,-16.3322968,-14.883551,-14.502478,-12.4985565,-8.0419067,-3.7342285,0.3846375,1.9746796,6.67E-06,1.66E-05,1.41E-05,1.49E-05,1.40E-05,1.38E-05,1.41E-05,0.446394997,0.348953934,0.333336077,0.091463089,-0.223284721,0.006287575,0.123562813,0.152349472,-0.075322151,-0.067989349,0.113148689,0.199965477,0.139308929,FALSE,Northwestern
2008,1,22,2,26.7,110.6,328.8696289,0.20933,-3.8738159,-2.1075806,0.876955785,-1.82,1.458756174,20.6701356,-22.2811951,-8.1568054,5.7467896,2.3978973,0.3821503,0.4892975,-1.5591949,-5.9859528,-3.2744354,-1.986792,0.117793646,0.048960915,0.075384183,0.54031254,0.890228052,0.901152316,0.797410059,0.919583852,0.864053841,0.85732378,0.079797745,0.30640316,0.308590889,0.039386749,-0.16628933,-0.227910995,-0.208285332,-0.252487183,-0.157847404,-0.139440536,TRUE,Central
2012,12,11,8,23.1,107.1,537.7846069,0.620618,7.8812347,12.1361633,0.752272353,9.7853757,3.182599268,22.2866586,-18.588324,-6.7702545,0.0526978,3.6817108,6.0582062,8.5862366,8.8714233,7.5993896,10.8828064,12.2255188,3.06E-06,1.09E-06,3.09E-05,6.99E-05,7.92E-05,8.71E-05,8.47E-05,0.939207993,0.781425209,0.756203804,-0.033301353,0.010998726,-0.03844738,-0.271848679,-0.238493919,-0.302988052,-0.140219688,0.128042221,0.13155365,0.10718441,FALSE,Southern
2014,12,12,20,43.4,128.2,598.9081421,0.373721,-20.8176483,-18.0469421,0.788693092,-18.4462218,3.091848662,-11.0901813,-47.9360718,-42.3276733,-32.4348053,-30.0873474,-28.2953247,-25.8421997,-22.9882874,-20.5244354,-17.5826935,-16.2959961,3.30E-07,1.11E-06,2.26E-06,2.77E-06,3.41E-06,4.18E-06,5.11E-06,1.073707218,0.954260159,0.952745228,0.055912971,0.036548615,0.20353508,0.305930138,0.440335274,0.58378315,0.439103127,0.244758606,-0.017267227,0.019130707,FALSE,Northeastern
